"emp_no","last_name","first_name","hire_date"
88386,"Bondorf","Jiann","1986-01-01"
214099,"Prenel","Holgard","1986-01-01"
26365,"Veevers","Hercules","1986-01-01"
77007,"Kroft","Achilleas","1986-01-01"
219203,"Cooley","Unal","1986-01-01"
498761,"Kaiserswerth","Chaoyi","1986-01-01"
248293,"Vanwelkenhuysen","Bedir","1986-01-01"
47413,"Comyn","Nirmal","1986-01-01"
245335,"Schrift","Mario","1986-01-01"
259440,"Shumilov","Subir","1986-01-01"
421721,"Reinhart","Shao","1986-01-01"
72864,"McConalogue","Moie","1986-01-01"
465446,"Soicher","Jaihie","1986-01-01"
100711,"Rosca","Kwangyoen","1986-01-01"
265749,"Asmuth","Uri","1986-01-01"
13415,"Speer","Nathalie","1986-01-01"
424450,"Jervis","Dzung","1986-01-01"
268761,"Buescher","Zhanqiu","1986-01-01"
219621,"Brookman","Constantino","1986-01-01"
103944,"Dehkordi","Domenick","1986-01-01"
52692,"Debuse","Domenico","1986-01-01"
253787,"Bottner","Filipe","1986-01-01"
434949,"Lores","Hausi","1986-01-01"
471203,"Serot","Jianhao","1986-01-01"
224714,"Orlowska","Mario","1986-01-01"
213442,"Tibblin","Vidar","1986-01-01"
13094,"Servieres","Sanjay","1986-01-01"
104764,"Munke","Juichirou","1986-01-01"
48489,"Nyanchama","Danae","1986-01-01"
22576,"Reinhart","Shawna","1986-01-01"
100812,"Lanphier","Saniya","1986-01-01"
208807,"Shobatake","Zita","1986-01-01"
458582,"Sambasivam","Shir","1986-01-01"
64978,"Janocha","Youssef","1986-01-01"
31961,"Luce","Alejandra","1986-01-01"
14845,"Homond","Theron","1986-01-01"
496085,"Reinhard","Yongqiao","1986-01-01"
225277,"Harbusch","Hercules","1986-01-01"
483739,"Bierbaum","Jiang","1986-01-01"
200640,"Waterhouse","Shahar","1986-01-01"
417105,"Rettelbach","Lijia","1986-01-01"
221613,"Famili","Ziyad","1986-01-01"
469053,"Dymetman","Vidya","1986-01-01"
29119,"Felder","Toshiko","1986-01-01"
108318,"Papastamatiou","Poorav","1986-01-01"
29708,"Undy","Sachar","1986-01-01"
219853,"Baaz","Shahid","1986-01-01"
90916,"Curless","Eishiro","1986-01-01"
492463,"Zirintsis","Kwangjo","1986-01-01"
89812,"Vingron","Boriana","1986-01-01"
232578,"Smeets","Guadalupe","1986-01-01"
279357,"Stiles","Manibrata","1986-01-01"
262840,"Masaki","Munehiko","1986-01-01"
224288,"Meriste","Kazunori","1986-01-01"
430556,"Boguraev","Arlette","1986-01-01"
255744,"Muntz","Mayuri","1986-01-01"
415376,"Range","Sungwon","1986-01-01"
232210,"Stemann","Sumant","1986-01-01"
37711,"Godskesen","Sampalli","1986-01-01"
104083,"Matteis","Basil","1986-01-01"
16483,"Karlin","Kwangyoen","1986-01-01"
476952,"Duclos","Eirik","1986-01-01"
475924,"Herath","Tran","1986-01-01"
28637,"Kenevan","Moto","1986-01-01"
448755,"Reeker","Masaki","1986-01-01"
65089,"Cooman","Giri","1986-01-01"
42013,"Demri","Tianruo","1986-01-01"
262950,"Vidal","Yinghua","1986-01-01"
407967,"Simkin","Tamiya","1986-01-01"
202218,"Bergere","Kristian","1986-01-01"
487879,"Fritzsche","Yongmao","1986-01-01"
492784,"Bahk","Mohammed","1986-01-01"
433424,"Dulay","Yongqiao","1986-01-01"
445833,"Stanger","Juyoung","1986-01-01"
482916,"Kisuki","Vasilis","1986-01-01"
417922,"Bhattacharjee","Ziyad","1986-01-01"
441840,"Thiran","Stein","1986-01-01"
414357,"Baek","Pranas","1986-01-01"
411185,"Marrakchi","Abdelkader","1986-01-01"
231980,"Niizuma","Deniz","1986-01-01"
422911,"Peral","Kwangjo","1986-01-02"
472417,"Bojadziev","Yucel","1986-01-02"
103410,"Swick","Uwe","1986-01-02"
29115,"Furedi","Shiv","1986-01-02"
88793,"Ghandeharizadeh","Gully","1986-01-02"
400063,"Zhiwei","Jungsoon","1986-01-02"
484504,"Orlowski","Gou","1986-01-02"
99918,"Raoux","Tristan","1986-01-02"
68692,"Monarch","Behnaam","1986-01-02"
93216,"Chelton","Dung","1986-01-02"
200603,"Koblitz","Shuho","1986-01-02"
425942,"Litvinov","Frazer","1986-01-02"
438915,"Szilard","Marsha","1986-01-02"
414045,"Spataro","Akhilish","1986-01-02"
432419,"Brookner","Yifei","1986-01-02"
409790,"Marrakchi","Miquel","1986-01-02"
80082,"Salverda","Shaleah","1986-01-02"
272354,"Panwar","Danil","1986-01-02"
10170,"Jenevein","Kasturi","1986-01-02"
233541,"Ecklund","Amalendu","1986-01-02"
238011,"Morrow","Maren","1986-01-02"
217164,"McFarlan","Rosalie","1986-01-02"
259830,"Nations","Holgard","1986-01-02"
236360,"Hitomi","Hugh","1986-01-02"
429848,"Lundstrom","Danco","1986-01-02"
476012,"Vigier","Leaf","1986-01-02"
206424,"Genther","Sanjit","1986-01-02"
291270,"Riefers","Lorien","1986-01-02"
252138,"Zaiane","Kiyotoshi","1986-01-02"
18248,"Zwicker","Jouko","1986-01-02"
47821,"Mitina","Raimond","1986-01-02"
238538,"Pehl","Fumitaka","1986-01-02"
472715,"Laventhal","Zhensheng","1986-01-02"
227969,"Mandell","Falguni","1986-01-02"
109469,"Felder","Georg","1986-01-02"
468647,"Szmurlo","Seongbae","1986-01-02"
493231,"Gini","Gianluca","1986-01-02"
251665,"Granlund","Maria","1986-01-02"
468741,"Plavsic","Berhard","1986-01-02"
475269,"Cullers","Rance","1986-01-02"
